Region,800 €,1000 €,1200 €,1400 €,1600 €,1850 €,2150 €,2450 €,2750 €,3050 €,3400 €,3800 €,4250 €,4750 €,5250 €,5750 €,6750 €,8750 €,14000 €
Mitte,18.8,25.4,20.9,21.7,21,37.3,27.4,29.1,24.6,23.2,26.1,21.3,21.7,13.3,8.1,6.8,10.1,10,0
Friedrichshain-Kreuzberg,15.1,17.8,12.9,11.1,15.6,18.8,19,19.6,21.4,16,15.9,19.2,18.6,12.8,9.8,5.6,12.8,7.7,0
Pankow,10.5,11,13,13.7,21.1,31.1,28.6,28.6,24.6,22.8,24.3,28.6,32.2,24.4,18.9,12.2,26.8,19.6,0
Charlottenburg-Wilmersdorf,14.7,14.1,17,16.5,16.8,26.4,21.5,19.6,18.5,21.6,19.7,15.7,21.3,14.7,12.8,6.5,15.4,14,9
Spandau,9.8,10.6,11,14.7,13.2,27.4,21.9,18.4,18.4,13.5,14.2,14.4,16,7.8,9.1,0,7,0,0
Steglitz-Zehlendorf,10,9.8,10.1,14.5,13.2,20.7,20.8,19.5,14.3,14.6,18.8,14.5,21.7,18.5,13.6,8.7,22.6,14.8,6.6
Tempelhof-Schöneberg,13.1,16.4,14.3,18.4,23.8,28.6,28.3,21.5,26.2,19.6,22,16.7,20.5,15.2,15,13.4,13.2,9.5,0
Neukölln,16.9,19,16.4,22.7,19.7,27.6,32.8,30.7,20.3,23.7,22.2,14.9,19.3,11.3,7.5,0,7.5,0,0
Treptow-Köpenick,8.7,8.2,11,14.2,14,23.2,21.5,18.8,15.8,15.9,19.1,18.5,19.7,16.6,10.7,5,11.6,0,0
Marzahn-Hellersdorf,8.7,9,12.5,13.2,16.6,24.5,18.8,26.4,23.2,17.4,23.2,15.4,14.2,9.6,6.1,0,6.8,0,0
Lichtenberg,13.7,11.4,14.8,19.9,19.2,26.9,29.1,23.4,21,16,20.5,16.1,12.1,11.6,7,5.4,6.7,0,0
Reinickendorf,6.8,10.3,10.4,13.8,17.5,28.6,22.5,16.8,15.1,14.2,22.3,10.7,15.7,15.3,8.1,6.7,12.8,0,0
