Region;Einwohner 31122019
010111 Tiergarten Süd;14985
010112 Regierungsviertel;12742
010113 Alexanderplatz;57883
010114 Brunnenstraße Süd;31840
010221 Moabit West;46275
010222 Moabit Ost;40042
010331 Osloer Straße;38809
010332 Brunnenstraße Nord;39469
010441 Parkviertel;46354
010442 Wedding Zentrum;57349
020101 Südliche Friedrichstadt;40530
020202 Tempelhofer Vorstadt;65647
020303 Nördliche Luisenstadt;21989
020304 Südliche Louisenstadt;26185
020405 Karl-Marx-Allee Nord;24336
020407 Karl-Marx-Allee Süd;25880
020506 Frankfurter Allee Nord;31167
020508 Frankfurter Allee Süd FK;54652
030101 Buch;17094
030202 Blankenfelde/Niederschönhausen;28706
030203 Buchholz;18259
030304 Karow;19679
030307 Blankenburg/Heinersdorf/Märchenland;15864
030405 Schönholz/Wilhelmsruh/Rosenthal;18329
030406 Pankow Zentrum;37024
030408 Pankow Süd;35345
030509 Weißensee;38528
030510 Weißensee Ost;15504
030611 Prenzlauer Berg Nordwest;26536
030612 Prenzlauer Berg Nord;27444
030613 Helmholtzplatz;22757
030614 Prenzlauer Berg Ost;27309
030715 Prenzlauer Berg Südwest;27183
030716 Prenzlauer Berg Süd;33774
040101 Charlottenburg Nord;19579
040202 Heerstrasse;13147
040203 Westend;28735
040304 Schloß Charlottenburg;24893
040305 Mierendorffplatz;15469
040306 Otto-Suhr-Allee;28081
040307 Neue Kantstraße;24742
040308 Kantstraße;21974
040309 Kurfürstendamm;15522
040310 Halensee;15756
040411 Grunewald;19708
040412 Schmargendorf;15019
040413 Wiesbadener Straße;18550
040514 Düsseldorfer Straße;32107
040515 Barstraße;14943
040516 Volkspark Wilmersdorf;35299
040617 Forst Grunewald;68
050101 Hakenfelde;26726
050102 Falkenhagener Feld;42031
050103 Spandau Mitte;37221
050204 Brunsbütteler Damm;24072
050205 Heerstraße Nord;29919
050206 Wilhelmstadt;36772
050307 Haselhorst;15680
050308 Siemensstadt;12831
050409 Gatow/Kladow;19945
060101 Schloßstraße;22221
060102 Albrechtstraße;53582
060203 Lankwitz;43566
060204 Ostpreußendamm;35821
060305 Teltower Damm;34333
060306 Drakestraße;50385
060407 Zehlendorf Südwest;27029
060408 Zehlendorf Nord;43134
070101 Schöneberg Nord;50915
070202 Schöneberg Süd;51149
070303 Friedenau;46428
070404 Tempelhof;65094
070505 Mariendorf;53106
070606 Marienfelde;32337
070707 Lichtenrade;51955
080101 Schillerpromenade;32415
080102 Neuköllner Mitte/Zentrum;37985
080103 Reuterstraße;39871
080104 Rixdorf;40324
080105 Köllnische Heide;15562
080206 Britz;43514
080207 Buckow;29145
080308 Gropiusstadt;37507
080409 Buckow Nord;9653
080410 Rudow;43941
090101 Alt-Treptow;12878
090102 Plänterwald;11365
090103 Baumschulenweg;18842
090104 Johannisthal;19853
090205 Oberschöneweide;23500
090206 Niederschöneweide;12850
090207 Adlershof;19934
090208 Köllnische Vorstadt/Spindlersfeld;11134
090309 Altglienicke;27925
090310 Bohnsdorf;13103
090311 Grünau;6784
090312 Schmöckwitz/Karolinenhof/Rauchfangswerder;4424
090413 Köpenick Süd;12014
090414 Allende-Viertel;11446
090415 Altstadt Kietz;7294
090416 Müggelheim;6798
090517 Friedrichshagen;19145
090518 Rahnsdorf/Hessenwinkel;9523
090519 Dammvorstadt;11604
090520 Köpenick Nord;13273
100101 Marzahn Nord;24158
100102 Marzahn Mitte;48008
100103 Marzahn Süd;38855
100204 Hellersdorf Nord;36473
100205 Hellersdorf Ost;20856
100206 Hellersdorf Süd;24780
100307 Biesdorf;28069
100408 Kaulsdorf;19408
100409 Mahlsdorf;29360
110101 Malchow Wartenberg und Falkenberg;5134
110102 Neu-Hohenschönhausen Nord;29675
110103 Neu-Hohenschönhausen Süd;27162
110204 Alt-Hohenschönhausen Nord;16443
110205 Alt-Hohenschönhausen Süd;32536
110306 Fennpfuhl;34074
110307 Alt-Lichtenberg;31649
110308 Frankfurter Allee Süd;10109
110409 Neu-Lichtenberg;33827
110410 Friedrichsfelde Nord;15377
110411 Friedrichsfelde Süd;25967
110512 Rummelsburger Bucht;4254
110513 Karlshorst;27994
121031 Ost 1;28797
121032 Ost 2;27594
122141 West 1;15965
122144 West 4;27518
122145 West 5;11275
122242 West 2;24104
122311 Nord 1;33421
123012 Nord 2;31579
123021 MV 1;40379
123022 MV 2;9274
123043 West 3;16502
